series,alpha_deg,Cl
Experimental,-6.162,-0.3143
Experimental,-4.042,-0.0605
Experimental,-0.978,0.3016
Experimental,0.956,0.5375
Experimental,2.076,0.6272
Experimental,5.975,1.0475
Experimental,7.924,1.2211
Experimental,10.041,1.3619
Experimental,11.992,1.4842
Experimental,14.011,1.5661
Experimental,17.839,1.3629
Experimental,18.439,1.3070
Experimental,18.941,1.2588
CFD Cobalt,-10,-0.70
CFD Cobalt,-8,-0.49
CFD Cobalt,-6,-0.26
CFD Cobalt,-4,-0.02
CFD Cobalt,-2,0.21
CFD Cobalt,0,0.44
CFD Cobalt,2,0.66
CFD Cobalt,4,0.88
CFD Cobalt,6,1.08
CFD Cobalt,8,1.24
CFD Cobalt,10,1.42
CFD Cobalt,12,1.53
CFD Cobalt,14,1.60
CFD Cobalt,16,1.61
CFD Cobalt,18,1.57
CFD Cobalt,20,1.49
CFD Kestrel,-10,-0.679
CFD Kestrel,-8,-0.475
CFD Kestrel,-6,-0.245
CFD Kestrel,-4,-0.0068
CFD Kestrel,-2,0.2272
CFD Kestrel,0,0.4613
CFD Kestrel,2,0.6867
CFD Kestrel,4,0.8991
CFD Kestrel,6,1.1028
CFD Kestrel,8,1.2718
CFD Kestrel,10,1.4625
CFD Kestrel,12,1.6056
CFD Kestrel,14,1.6793
CFD Kestrel,16,1.6186
CFD Kestrel,18,1.5752
CFD Kestrel,20,1.4539
